Объект; Место; Дата; Направление; Позиция; X; Y; 
Сахалин. дорога; Скважина 13и; 13.08.2024  02:12:53;  Back;  10.0м ; 990 ″; 5511 ″; 
Сахалин. дорога; Скважина 13и; 13.08.2024  02:12:53;  Back;  9.5м ; -428 ″; 5932 ″; 
Сахалин. дорога; Скважина 13и; 13.08.2024  02:12:53;  Back;  9.0м ; -1940 ″; 5928 ″; 
Сахалин. дорога; Скважина 13и; 13.08.2024  02:12:53;  Back;  8.5м ; -3323 ″; 6182 ″; 
Сахалин. дорога; Скважина 13и; 13.08.2024  02:12:53;  Back;  8.0м ; -4441 ″; 6451 ″; 
Сахалин. дорога; Скважина 13и; 13.08.2024  02:12:53;  Back;  7.5м ; -3762 ″; 5307 ″; 
Сахалин. дорога; Скважина 13и; 13.08.2024  02:12:53;  Back;  7.0м ; -3281 ″; 5062 ″; 
Сахалин. дорога; Скважина 13и; 13.08.2024  02:12:53;  Back;  6.5м ; -3254 ″; 5254 ″; 
Сахалин. дорога; Скважина 13и; 13.08.2024  02:12:53;  Back;  6.0м ; -2911 ″; 5576 ″; 
Сахалин. дорога; Скважина 13и; 13.08.2024  02:12:53;  Back;  5.5м ; -3299 ″; 6323 ″; 
Сахалин. дорога; Скважина 13и; 13.08.2024  02:12:53;  Back;  5.0м ; -3695 ″; 6884 ″; 
Сахалин. дорога; Скважина 13и; 13.08.2024  02:12:53;  Back;  4.5м ; -3493 ″; 7170 ″; 
Сахалин. дорога; Скважина 13и; 13.08.2024  02:12:53;  Back;  4.0м ; -2882 ″; 7254 ″; 
Сахалин. дорога; Скважина 13и; 13.08.2024  02:12:53;  Back;  3.5м ; -2429 ″; 7001 ″; 
Сахалин. дорога; Скважина 13и; 13.08.2024  02:12:53;  Back;  3.0м ; -2008 ″; 6872 ″; 
Сахалин. дорога; Скважина 13и; 13.08.2024  02:12:53;  Back;  2.5м ; -1254 ″; 6567 ″; 
Сахалин. дорога; Скважина 13и; 13.08.2024  02:12:53;  Back;  2.0м ; -868 ″; 5756 ″; 
Сахалин. дорога; Скважина 13и; 13.08.2024  02:12:53;  Back;  1.5м ; -907 ″; 5361 ″; 
Сахалин. дорога; Скважина 13и; 13.08.2024  02:12:53;  Back;  1.0м ; -756 ″; 5402 ″; 
Сахалин. дорога; Скважина 13и; 13.08.2024  02:12:53;  Back;  0.5м ; -1274 ″; 5904 ″; 
Сахалин. дорога; Скважина 13и; 13.08.2024  02:12:53;  Back;  0.0м ; -1688 ″; 6104 ″; 
