Объект; Место; Дата; Направление; Позиция; X; Y; Звенигород; ПИ_2; 12.02.2025 12:37:16;  Forward;  0.0м ; -1018 ″; 1544 ″; 
Звенигород; ПИ_2; 12.02.2025 13:23:16;  Back;  19.5м ; -1107 ″; 3708 ″; 
Звенигород; ПИ_2; 12.02.2025 13:23:46;  Back;  20.0м ; -1277 ″; 5350 ″; 
Звенигород; ПИ_2; 12.02.2025 13:24:16;  Back;  20.5м ; -783 ″; 4800 ″; 
Звенигород; ПИ_2; 12.02.2025 13:24:46;  Back;  21.0м ; -351 ″; 4328 ″; 
Звенигород; ПИ_2; 12.02.2025 13:25:16;  Back;  21.5м ; -397 ″; 4209 ″; 
Звенигород; ПИ_2; 12.02.2025 13:25:46;  Back;  22.0м ; -840 ″; 4264 ″; 
Звенигород; ПИ_2; 12.02.2025 13:26:16;  Back;  22.5м ; -242 ″; 3195 ″; 
Звенигород; ПИ_2; 12.02.2025 13:26:46;  Back;  23.0м ; 221 ″; 2010 ″; 
Звенигород; ПИ_2; 12.02.2025 13:27:16;  Back;  23.5м ; 334 ″; 2414 ″; 
Звенигород; ПИ_2; 12.02.2025 13:27:46;  Back;  24.0м ; 469 ″; 2429 ″; 
Звенигород; ПИ_2; 12.02.2025 13:28:16;  Back;  24.5м ; 1026 ″; 2225 ″; 
Звенигород; ПИ_2; 12.02.2025 13:28:46;  Back;  25.0м ; 1249 ″; 1953 ″; 
Звенигород; ПИ_2; 12.02.2025 13:29:16;  Back;  25.5м ; 1279 ″; 1738 ″; 
