Объект; Место; Дата; Направление; Позиция; X; Y; 
Звенигород; ПИ_2; 28.06.2024  18:27:03;  Back;  16.0м ; -1719 ″; 5563 ″; 
Звенигород; ПИ_2; 28.06.2024  18:27:03;  Back;  15.5м ; -1463 ″; 5986 ″; 
Звенигород; ПИ_2; 28.06.2024  18:27:03;  Back;  15.0м ; -1446 ″; 6057 ″; 
Звенигород; ПИ_2; 28.06.2024  18:27:03;  Back;  14.5м ; -1253 ″; 6331 ″; 
Звенигород; ПИ_2; 28.06.2024  18:27:03;  Back;  14.0м ; -1160 ″; 6265 ″; 
Звенигород; ПИ_2; 28.06.2024  18:27:03;  Back;  13.5м ; -221 ″; 6316 ″; 
Звенигород; ПИ_2; 28.06.2024  18:27:03;  Back;  13.0м ; -482 ″; 5927 ″; 
Звенигород; ПИ_2; 28.06.2024  18:27:03;  Back;  12.5м ; -832 ″; 6128 ″; 
Звенигород; ПИ_2; 28.06.2024  18:27:03;  Back;  12.0м ; -932 ″; 6230 ″; 
Звенигород; ПИ_2; 28.06.2024  18:27:03;  Back;  11.5м ; -845 ″; 6372 ″; 
Звенигород; ПИ_2; 28.06.2024  18:27:03;  Back;  11.0м ; -678 ″; 6264 ″; 
Звенигород; ПИ_2; 28.06.2024  18:27:03;  Back;  10.5м ; 91 ″; 6480 ″; 
Звенигород; ПИ_2; 28.06.2024  18:27:03;  Back;  10.0м ; -163 ″; 6297 ″; 
Звенигород; ПИ_2; 28.06.2024  18:27:03;  Back;  9.5м ; 375 ″; 6196 ″; 
Звенигород; ПИ_2; 28.06.2024  18:27:03;  Back;  9.0м ; 928 ″; 6535 ″; 
Звенигород; ПИ_2; 28.06.2024  18:27:03;  Back;  8.5м ; 1154 ″; 7386 ″; 
Звенигород; ПИ_2; 28.06.2024  18:27:03;  Back;  8.0м ; 1081 ″; 8672 ″; 
Звенигород; ПИ_2; 28.06.2024  18:27:03;  Back;  7.5м ; 1944 ″; 9931 ″; 
Звенигород; ПИ_2; 28.06.2024  18:27:03;  Back;  7.0м ; 1653 ″; 10744 ″; 
Звенигород; ПИ_2; 28.06.2024  18:27:03;  Back;  6.5м ; 779 ″; 11284 ″; 
Звенигород; ПИ_2; 28.06.2024  18:27:03;  Back;  6.0м ; -558 ″; 11397 ″; 
Звенигород; ПИ_2; 28.06.2024  18:27:03;  Back;  5.5м ; -1897 ″; 11735 ″; 
Звенигород; ПИ_2; 28.06.2024  18:27:03;  Back;  5.0м ; -2155 ″; 12330 ″; 
Звенигород; ПИ_2; 28.06.2024  18:27:03;  Back;  4.5м ; -2284 ″; 11700 ″; 
Звенигород; ПИ_2; 28.06.2024  18:27:03;  Back;  4.0м ; -2863 ″; 9766 ″; 
Звенигород; ПИ_2; 28.06.2024  18:27:03;  Back;  3.5м ; -2940 ″; 7774 ″; 
Звенигород; ПИ_2; 28.06.2024  18:27:03;  Back;  3.0м ; -2342 ″; 5841 ″; 
Звенигород; ПИ_2; 28.06.2024  18:27:03;  Back;  2.5м ; -326 ″; 4079 ″; 
Звенигород; ПИ_2; 28.06.2024  18:27:03;  Back;  2.0м ; 2261 ″; 1147 ″; 
Звенигород; ПИ_2; 28.06.2024  18:27:03;  Back;  1.5м ; 3362 ″; -2236 ″; 
